Participant,Group,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,Fridge,frig,fun,Frisbee,football,foot,funny,filibuster,frequent,finally,finish,,,,,,,,,,,,,,,,
9,1,Frog ,fright ,farm ,fair ,far ,freak ,frame ,flame ,flat ,flit ,fret ,fee ,fare,fist ,flick ,fire ,fest ,festival,from,,,,,,,,
10,1,Fail ,fun ,frolic ,fundamental ,funnel ,funny ,freeze ,frigid ,fright ,frozen ,frown ,frizzy ,finger ,fling ,,,,,,,,,,,,,
1101,1,flamingo ,fun ,family ,forest ,face ,foot ,fish ,funnel,,,,,,,,,,,,,,,,,,,
1102,1,Friend ,fowl ,folly ,foal ,fund ,fair ,fantastic ,frame ,festival ,frolic ,fun ,friend ,foe ,fling ,fly ,flare,,,,,,,,,,,
1103,1,Fribulous ,fart ,fang ,flirt ,felt ,flipper ,Fuck ,frantic ,friend ,from ,familiar ,fantasia ,frisky ,fan ,fantastic ,fill,flounder ,fish ,,,,,,,,,
1104,1,Fill ,foal ,feminine ,fertile ,febrile ,fur ,fib ,finger ,foot ,femur ,fart ,famous ,fame ,flight ,flood ,flounder ,flower ,flare ,frig ,frame ,frapuccino ,float,,,,,
1105,1,fang ,fart ,father ,fool ,football ,fan ,family ,font ,fright ,fry ,finish ,form ,fail ,fat ,fast ,finish ,fight ,fill ,faint ,fantastic,,,,,,,
1106,1,Figured ,friend ,francophone ,French ,find ,fine ,frown ,found ,frank ,,,,,,,,,,,,,,,,,,
1107,1,Fresh ,Frost ,frolic ,fool ,friend ,foe ,fight ,forget ,foil ,foliage ,flora ,fona ,frosh ,finger ,frosting ,frozen,,,,,,,,,,,
1108,1,Fuck ,fat ,fan ,fall ,follow ,felt ,frown ,Friday ,foal ,fake ,,,,,,,,,,,,,,,,,
1109,1,frivolous ,fantastic ,fabulous ,frumpy ,fly ,frog ,fry ,fold ,fib ,,,,,,,,,,,,,,,,,,
1110,1,Fish ,find ,file ,fast ,Philippino ,fissure ,,,,,,,,,,,,,,,,,,,,,
1111,1,Fox,feather,fire,flipper,frittata,Fahrenheit,Frank,finger,fist,fix,flip,fairy,France,French,,,,,,,,,,,,,
1112,1,Fun ,fall ,freedom ,fight ,fruit ,fat ,foreshadow ,,,,,,,,,,,,,,,,,,,,
1113,1,Fold,finger,fork,frown,flat,furrow,fiber,focus,fondle,fart,frat,Friday,frigid,feline,,,,,,,,,,,,,
1114,1,Farmhouse,farm,Ferris wheel,forest,Fanshaw College,forgotten,fail,failing,fell,fall,fixture,,,,,,,,,,,,,,,,
1123,1,Fuck ,ferry ,free ,farm ,ferret ,foible ,fair ,far,,,,,,,,,,,,,,,,,,,
1126,1,Fire ,free ,favourite ,frightening ,feel ,forever ,fight ,forgive ,fragrance ,flower,,,,,,,,,,,,,,,,,
1135,1,Fantastic ,fruit ,funny ,Farrell ,fire ,fur ,fur-tree ,fine ,fin,faint ,fain ,frugal ,fit ,fitness ,fun ,face ,few ,far ,fast ,fasting ,fabulous ,Fuse ,,,,,
1161,1,Face,faucet,food,fangs,felt,finger,fight,fist,flower,family,far,fake,fan,fantastic,fruit,free,fries,flavour,front,fan,,,,,,,
1162,1,Fox ,foundry ,find ,feeling ,flexible ,fidget ,film ,free ,fix ,find ,foal ,flower ,fly ,flute ,fond ,fill ,file ,,,,,,,,,,
1184,1,Fact,fake,feeling,football,foot,fridge,friend,fecal,finding,feed,fend,find,fond,fondu,fun,finger,finish,finale,,,,,,,,,
1185,1,Face,farmer,fart,flick,flip,fan,focus,fantastic,flaccid,flipper,flank,fawn,flap,flat,feet,finger,foetus,femur,femoral,flap,farm,fence,front,franc,finish,fist,fit
1195,1,"Fun,","famous,","fantastic,","favourite,","funny,","family,","father,","fast,","future,","food,","fast-food,","full,",,,,,,,,,,,,,,,
1199,1,"Fun,","fight,","fright,","flight,","frame,","floor,","face,","fry,","fling,","fancy,","fortitude,","fantastic,","from,",flow,,,,,,,,,,,,,
11116,1,"Fear,","friend,","for,","forty,","far,","find,","found,","fruit,","fabulous,","fan,",,,,,,,,,,,,,,,,,
11117,1,"Friends,","food,","fudge,","ferret,","frankly,","foe,","fowl,","fuel,","fan,","favourite,",fanny,"pack,","foot,","footwear,","feet,","furniture,",,,,,,,,,,,
11118,1,"Finger,","flower,","follower,","fire,","friend,","face,","family,","frog,","fight,","force,","felt,","flow,","flame,","forget,","fuck,","fart,","fake,",,,,,,,,,,
11119,1,"Finger,","fruit,","follow,","fall,","freak,","flirt,","fever,","famous,","fax,","frown,","flag,","fever,","fancy,","Friday,","fence,","frog,","French,","fries,","flu,","flies,","freckle,","fog,",,,,,
11120,1,"Fish,","frog,","farm,","furniture,","forget,","future,","fail,",,,,,,,,,,,,,,,,,,,,
11121,1,"Frog,","flip,","face,","front,","fraction,","fiction,","forward,","fly,","flip,","flop,","freckle,","frontier,","factory,","fix,",,,,,,,,,,,,,
11122,1,"Flag,","fox,","fridge,","faith,","forget,","French,",fake,,,,,,,,,,,,,,,,,,,,
11143,1,Fish,fridge,Friday,friend,fight,frost,freeze,fake,finish,festive,fish,five,fat,fog,face,fate,,,,,,,,,,,
11145,1,Frog,French,fat,fly,fruit,finger,forge,fuck,fabulous,fad,flame,fart,flick,funk,flip,fish,fill,,,,,,,,,,
11147,1,Fish,foot,finger,fat,fantasy,friend,fundraiser,fact,femur,funny,fantastic,fish,ferret,funky,fan,fossil,fun,fungus,,,,,,,,,
11151,1,Fruit,fast,frugal,flower,friend,foe,follow,folly,French,fair,fame,famous,furrow,frown,faint,fear,fence,file,,,,,,,,,
11175,1,Fish,fun,fan,fiction,fog,frog,flamingo,fright,fin,fly,fry,,,,,,,,,,,,,,,,
11176,1,Frog,Frankfort,forget,falling,forget-me-not,flower,floor,finger,fingernail,frown,funny,,,,,,,,,,,,,,,,
11183,1,Food,French,friends,feelings,football,freedom,fence,finger,fox,ferret,force,,,,,,,,,,,,,,,,
11189,1,Fox,flower,fig,fire,figure,flyer,finger,follicle,,,,,,,,,,,,,,,,,,,
11211,1,frock,flip,fool,FALSE,femur,fake,flap,fly,frozen,fold,fear,fumble,frost,fiscal,force,frat,from,follow,flippant,foster,freedom,freezing,fumble,force,foreign,,
11214,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
11216,1,firm,funny,fig,finally,forensic,fins,find,full,fall,,,,,,,,,,,,,,,,,,
11217,1,fragile,freak,faggot,fuck,forgotten,fragrance,futile,fugitive,functional,funk,,,,,,,,,,,,,,,,,
11221,1,"Fly,","fright,","freedom,","forward,","flip,","fail,","flick,","flume,","frog,","fence,","from,","flute,","Fahrenheit,","forgo,","fan,","family,","friends,","forgiver,","faint,",full,,,,,,,
11226,1,fool,face,fake,fate,frown,fray,foal,freak,fret,feet,,,,,,,,,,,,,,,,,
11249,1,fairy,fickle,friend,family,faint,felony,fame,fortune,filth,fish,flu,farm,,,,,,,,,,,,,,,
11259,1,"Fly,","finger,","from,","fog,","fight,","fuzzy,","forlorn,","frog,","fox,","file,","float,","forget,",fornicate,,,,,,,,,,,,,,
11278,1,"Friend,","foe,","fair,","festival,","farm,","forget,","fatch,","fat,","follow,",fair,"amount,","facilitate,","forego,","fabulous,","fantastic,","fantasy,","fanatic,","fellow,","frantic,",female,,,,,,,
BJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11302,1,Funny,feet,forest,fudge,fast,furry,fury,fail,fox,found,follow,feed,,,,,,,,,,,,,,,
11304,1,fire,free,fort,fork,feather,forecast,flow,flower,flank,fuzzy,frost,frozen,fill,flip,failing,fang,fan,,,,,,,,,,
11306,1,fire,frog,finger,foot,free,file,fling,flower,fuck,fail,,,,,,,,,,,,,,,,,
11309,1,food,flower,fun,fairy,farm,foot,face,from,fang,faint,fig,floor,fair,frame,,,,,,,,,,,,,
11313,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
11361,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
11365,1,friendly,fruit,fake,fanatic,find,fickle,freckle,fantasy,fire-truck,fail,fang,follow,fend,forge,felt,flack,found,,,,,,,,,,
11390,1,face,furniture,floor,fixture,flower,freak,frame,fuck,flex,force,from,for,forecast,foreman,,,,,,,,,,,,,
11400,1,fun,fridge,finite,finish,flame,fuck,flavor,flip,,,,,,,,,,,,,,,,,,,
11404,1,family,friend,fashion,forget,fair,FALSE,frustrated,force,fling,fight,finger,fun,future,feature,fuck,firetruck,fear,for,,,,,,,,,
11411,1,freezer,frigid,fluid,fuck,freeway,fire,festive,feast,fibrosis,fruit,,,,,,,,,,,,,,,,,
11414,1,fried,fillet,fly,flyer,frequency,foe,,,,,,,,,,,,,,,,,,,,,
11417,1,friends,family,focus,feline,fast,furious,flight,fight,fiction,fraction,floor,fever,favour,faction,flask,fat,,,,,,,,,,,
11423,1,friends,fun,flight,fracking,function,fail,final,fin,flash,fire,fox,,,,,,,,,,,,,,,,
11424,1,friendship,fireplace,fire,fold,fruit,fun,front,form,fish,free,face,furniture,furnace,fumes,freelance,,,,,,,,,,,,
11427,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
11430,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
11431,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
11432,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
11434,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
11435,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
11436,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
11437,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
11438,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
11439,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
11440,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
11490,1,Face,focus,force,free,fortitude,frozen,fast,friend,frenzy,,,,,,,,,,,,,,,,,,
11491,1,fuck,fire truck,flames,forward,front,finger,fist,fierce,,,,,,,,,,,,,,,,,,,
11493,1,fridge,freezer,flower,favorite,fall,female,fern,family,facts,fiction,floss,face,film,,,,,,,,,,,,,,
11497,1,face,friendly,fruit,feline,flamingo,fox,finish,fragrant,fish,find,frog,flower,forest,fantasy,fairy tale,,,,,,,,,,,,
11498,1,friends,family,food,fun,flowers,funeral,flood,female,fungus,fruit,foes,flying,force,feeling,fight,floors,,,,,,,,,,,
11500,1,fun,far,friends,feeling,fellow,face,facts,fair,fit,fat,focus,frequent,flight,figure,force,favourite,fidget,fix,fabulous,foot,,,,,,,
11504,1,fox,fish,fit,fowl,fly,form,fence,feel,foot,full,fun,,,,,,,,,,,,,,,,
11510,1,friend,foe,fool,fun,fix,fawn,fake,formaldehyde,fortress,fact,fraction,fountain,fork,forklift,flake,frown,familiar,flour,flower,,,,,,,,
11515,1,face,figure,fountain,fish,fry,foot,flower,fly,fairy,fiction,fun,,,,,,,,,,,,,,,,
11517,1,fortune,fall,face,fingers,friction,fan,fat,flock,funds,favourite,falcon,foot,funnel,,,,,,,,,,,,,,
11525,1,free,for,friend,from,fancy,fantastic,freak,fanny,,,,,,,,,,,,,,,,,,,
11530,1,face,flower,fountain,fox,freak,follow,foot,fingers,father,fax,fisher,flow,fellow,friendly,fort,fly,find,,,,,,,,,,
11532,1,fire,fat,fallopian,furnish,fix,favorite,flop,foot,fear,flat,fornicate,fabulous,furniture,fond,follow,fame,fall,,,,,,,,,,
11533,1,friend,fire,flake,fun,fair,fare,flower,fruit,fried,freak,food,fight,fine,fluke,fan,,,,,,,,,,,,
11537,1,flower,fruit,friend,forever,fake,fun,folder,finish,fish,,,,,,,,,,,,,,,,,,
11538,1,fiddle,frankly,fried,fly,friendly,,,,,,,,,,,,,,,,,,,,,,
11541,1,face,fish,far,foreshadow,flavor,flight,fire,figure,fight,folly,flack,flab,flail,fail,feel,fool,folding,full,,,,,,,,,
11542,1,forest,food,funky,fresh,fernery,frozen,fell,fall,front,fat,fan,flip,from,family,friends,faith,fought,face,feet,,,,,,,,
11543,1,fun,fantastic,family,furious,fabulous,fidget,finger,father,face,fan,,,,,,,,,,,,,,,,,
11544,1,fine,fickle,fortuitous,find,follow,fail,fuck,fallacious,forbidding,,,,,,,,,,,,,,,,,,
11549,1,fiction,fraction,fish,foolish,fun,follow,family,for,,,,,,,,,,,,,,,,,,,
11552,1,face,faucet,feet,flowers,folder,fiddle,flying,falling,fruit,fish,flow,frolic,fresh,,,,,,,,,,,,,,
11553,1,frog,face,fill,faucet,family,familiar,follow,fiddle,fall,flint,flow,,,,,,,,,,,,,,,,
11598,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
11599,1,face,fox,find,for,filling,far,flick,fart,fix,flirt,facts,fax,fetch,fling,,,,,,,,,,,,,
11600,1,fun,flower,forest,fight,forge,flood,food,fries,forever,fog,ferry,fairy,,,,,,,,,,,,,,,
11635,1,frog,forest,for,fire,face,forage,fart,fallacy,far,fruit,frat,farm,fall,fist,,,,,,,,,,,,,
11636,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
11640,1,fair,fun,food,fascinating,fence,fruit,fine,fix,felt,for,fake,forest,free,fast,,,,,,,,,,,,,
11692,1,farm,factor,face,frog,fidget,furnace,figs,flamingo,flying,fart,fist,flag,fries,,,,,,,,,,,,,,
