Participant,Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,dog,cat,fish,birds,pigs,cows,goats,sheep,horses,whales,dolphins,squid,octopus,salmon,trout,pickerel,deer,caribou,elk,moose,bear,raccoons,fox,coyotes,elephants,giraffes,rhinoceroses,gorillas,apes,kangaroos,,,,,,,,,,
9,1,ant ,aardvark ,ant eater,bear ,bison ,beaver ,camel ,cat ,dog ,dingo ,elephant ,emu ,frog ,goat ,hippo ,horse ,iguana ,jaguar ,kangaroo ,leopard ,monkey ,orangutang ,ostrich ,,,,,,,,,,,,,,,,,
10,1,Bear ,Elephant ,cat ,dog ,orangutang ,monkey ,snake ,snail ,bird ,fish ,zebra ,rhinoceros ,alligator ,crocodile ,snake ,squirrel ,chipmunk ,chimpanzee ,lion ,tiger ,cheetah ,panther ,seal ,,,,,,,,,,,,,,,,,
1101,1,horses ,pigs ,chickens ,lamas,lions ,zebras,giraffe ,hippo,flamingo ,buffalo ,leopard ,lemur,squirrel ,owl ,raccoon ,dog ,cat ,parrot ,parakeet ,ferret ,mice,rat ,hamster ,gerbil ,camel ,scorpion,,,,,,,,,,,,,,
1102,1,Giraffe ,elephant ,rhinoceros ,pig ,cow ,horse ,bird ,goat ,donkey ,chicken ,roaster ,duck ,cat ,dog ,guinea-pig ,hamster ,fish ,whale ,dolphin ,tiger ,cougar ,lion,raccoon ,skunk ,beaver ,deer ,elk ,bear ,moose ,caribou ,porcupine ,,,,,,,,,
1103,1,Zebra ,lion,tigers ,bears,alligators ,iguana,gorilla,humans,seahorses ,fish,salamander,horse ,monkeys,hippopotamus ,elephant ,hippopotamus,elephant ,baboon,,,,,,,,,,,,,,,,,,,,,,
1104,1,horse ,sheep ,donkey ,parrot ,dog ,cat ,bird ,rhino,lion,monkey, walrus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105,1,Lion ,tigers ,zebra ,dog,cat,chicken ,bird ,rhinoceros ,hippo,giraffes ,mouse,gerbil ,raccoon ,skunk,leopard ,whale ,fish,cow ,sheep,Lamb ,parrot,,,,,,,,,,,,,,,,,,,
1106,1,dog ,cat ,horse ,elephant ,giraffe ,lion ,zebra ,kangaroo ,crocodile ,fish ,bunny ,tortoise ,turtle,alligator ,parrot ,bird ,goat ,chicken ,pig ,bear ,panda,lizard ,serpent,,,,,,,,,,,,,,,,,
1107,1,Horse ,sheep ,cow ,sparrow ,seahorse ,otter ,weasel ,ferret ,dog ,cat ,whale ,dolphin ,animals ,animals ,sheep,giraffes ,zebras ,lions ,tigers ,leopards ,antelope ,deer ,moose ,bear,,,,,,,,,,,,,,,,
1108,1,Dog ,cat ,sheep ,cricket ,horse ,cow ,pig ,goat ,guinea pig,gerbil ,rabbit ,hamster ,gold,fish ,crocodile ,alligator ,butterfly ,,,,,,,,,,,,,,,,,,,,,,,
1109,1,Zebra ,kangaroo ,rhinoceros ,elephant ,tiger,bird ,bat ,predator ,squirrel ,bird ,dog ,cat ,cow ,horse ,calf ,deer ,bear ,frog ,pig ,,,,,,,,,,,,,,,,,,,,,
1110,1,Lion ,tiger ,bear ,bird ,rhino ,snake ,dog ,cat ,fox ,mink ,squirrel ,rat ,mouse ,ferret,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,1,Ant,aardvark,bear,cat,cheetah,dog,elephant,fox,emu,iguana,jaguar,kangaroo,lion,orangutan,ostrich,giraffe,buffalo,wildebeest,antelope,gazelle,deer,caribou,wolverine,whale,bat,octopus,fish,lemur,slosh,wallaby,wombat.,,,,,,,,,
1112,1,Cat ,dog ,horse ,sheep ,pig ,cow ,chicken ,rooster ,rhinocerous ,lion ,cheetah ,leopard ,panther ,tiger ,zebra ,elephant ,giraffe ,ostrich ,antelope ,gazelle ,panda bear,grizzly bear,polar bear,armadillo ,weasel ,rabbit ,koyote ,wolf ,fox ,groundhog ,raccoon ,squirrel ,,,,,,,,
1113,1,Cat,giraffe,antelope,cantaloupe,gazelle,lion,narwhale,dog,snake,crayfish,lobster,grasshopper,shark,pigeon,earthworm,fruit fly,bat,minnow,rhinoceros,hippopotamus,tiger,jaguar,leopard,cougar,bear,anteater,,,,,,,,,,,,,,
1114,1,Dog,cat,snake,donkey,lion,tiger,bear,shark,goldfish,orangutan,chimpanzee,ape,zebra,rhinoceros,giraffe,squirrel,chipmunk,cat,dog,rat,mouse,hamster,eagle,cardinal,falcon,blue jay,dolphin,whale,blue whale,hammerhead shark,great white,shark ,killer whale,seal,seagull,aardvark,,,,
1123,1,Ants ,snakes ,reptile ,mammal ,shark ,whale ,fish ,giraffe ,lion ,tiger ,bear ,zebra,mussels ,Cray fish ,lobster ,leopard ,warbler ,eagle ,hawk ,parrot ,falcon,,,,,,,,,,,,,,,,,,,
1126,1,Snake ,dog ,bird ,cat ,zebra ,giraffe ,penguin ,lion ,rhino ,elephant ,polar bear,snake,bears ,parrots ,toucans ,moose ,deer ,elk ,hamster ,guinea,pigs,capybaras ,rabbits ,lizards ,frogs ,,,,,,,,,,,,,,,
1135,1,Dog ,cat ,mouse ,squirrel ,skunk ,beaver ,antelope ,deer ,rhinoceros ,hippopotamus ,lion,tiger ,bear, Bat ,robin ,blue-jay ,cardinal ,Ape ,gorilla ,chimpanzee ,orangutan ,wolf ,hound ,salmon ,halibut ,tilapia ,tuna ,marlin ,shark ,blue whale,killer whale,,,,,,,,,
1161,1,Horse,cow,pig,ostrich,camel,dog,cat,fish,birds,tigers,zebra,elephant,giraffe,flamingo,cheetah,rhinoceros,alligator,crocodile,moose,deer,horse,cow,bugs,ladybug,bee,spider,scorpion,,,,,,,,,,,,,
1162,1,Dog ,cat ,ostrich ,horse ,sheep ,fish,pig ,cow ,monkey ,gorilla ,chimpanzee ,orangutang ,wolf ,coyote ,badger ,fox ,mouse ,rat ,mole ,eagle ,elephant ,lion ,zebra ,mere cat,bore ,hippo ,rhino ,fish ,whale ,shark ,seal ,otter ,,,,,,,,
1184,1,Lion,tiger,bear,eagle,rhinoceros,platypus,cat,dog,fish,newt,koala,bear,giraffe,gazelle,snake,ape,chimpanzee,gorilla,alligator,crocodile,lizards,,,,,,,,,,,,,,,,,,,
1185,1,Dog,cat,horse,pig,goat,sheep,tiger,lion,giraffe,rhino,elephant,alpaca,emu,pony,bird,fish,monkey,gorilla,chimpanzee,hippo,whale,dolphin,hog,cow,deer,moose,rooster,chicken,,,,,,,,,,,,
1195,1,Lion ,tiger ,bear ,cheetah ,moose ,spider ,sputmonkey ,monkey ,gorilla ,chimpanzee ,cheetah ,cow ,lion ,hawk ,humming bird ,pigeon ,whale ,fish ,shark ,tropical fish ,water ,ocean ,river ,lake ,antelope ,moose ,polar bear ,black bear ,grizzly bear ,snake ,python ,,,,,,,,,
1199,1,Cat ,dog ,rabbit ,hamster ,bird ,turtle ,horse ,fox ,squirrel ,possum ,raccoon ,crow ,grackle ,seagull ,black bears ,brown bears ,deer ,moose ,elk ,mice ,rat ,snake ,polar bear ,puffin ,cat ,lion ,cheetah ,kangaroo ,wallabies ,,,,,,,,,,,
11116,1,"Lion,","giraffe,","aardvark,","rhino,","camel,","snake,","goat,","llama,","anteater,","orang-utan,","chimpanzee,","whale,","flying fish,","eel,","squirrel,","lizard,","chipmunk,","black bear,","grizzly bear,","salmon,","dog,","cat,","ferret,","mouse,","rat,","gerbil,",,,,,,,,,,,,,,
11117,1,Cat ,dog ,mouse ,rat ,hamster ,gerbil ,zebra ,camel ,lion,tiger ,elephant ,monkey ,gorilla ,ape ,sloth ,skunk ,racoon ,squirrel ,butterfly ,mosquito ,mole ,flamingo ,penguin ,polar bear,lamb ,chicken ,rooster ,pig ,chicken ,cow ,bull ,,,,,,,,,
11118,1,Giraffe ,rhino ,dog ,cat ,zebra ,lion ,tiger ,whale ,bear ,fish ,frog ,ostrich ,cow ,horse ,sheep ,pig ,chicken ,turkey ,deer ,antelope ,walrus ,penguin ,whale ,monkey ,gorilla ,sea,horse ,octopus ,squid ,squirrel ,,,,,,,,,,
11119,1,"Cat,","dog,","frog,","rabbit,","horse,","cow,","pig,","giraffe,","lion,","tiger,","bear,","cheetah,","tiger,","zebra,","alligator,","crocodile,","fish,","turtle,","bird,","otter,","moose,","deer,","wolf,","buffalo,",,,,,,,,,,,,,,,,
11120,1,Cat ,dog ,bird ,lion ,tiger ,zebra ,camel ,hippo ,alligator ,crocodile ,cow ,pig ,chicken ,rooster ,kangaroo ,koala bear ,bear ,fox ,raccoon ,porcupine ,skunk ,rat ,mouse ,,,,,,,,,,,,,,,,,
11121,1,Dog ,cat ,bear ,elephant ,rhino ,lion ,horse ,cow ,pig ,wolf ,deer ,antelope ,moose ,elk ,caribou ,wolverine ,platypus ,kangaroo ,bat ,bird ,fish ,frog ,snake ,lizard ,ant ,bee ,wasp ,hornet ,caterpillar ,cockroach ,bunny ,squirrel ,chipmunk ,gerbil ,,,,,,
11122,1,"Dog,","cat,","bird,","fox,","elephant,","zebra,","lion,","tiger,","penguin,","monkey,","llama,","camel,","raccoon,","squirrel,","hippo,","horse,","turkey,",bunny,"rabbit,",,,,,,,,,,,,,,,,,,,,,
11143,1,Rabbit,moose,kangaroo,shark,goldfish,salmon,trout,pike,bass,monkey,ape,gorilla,snake,boa constrictor,python,garden,snake,mouse,rat,cow,chicken,horse,dog,cat,goat,donkey,lion,tiger,bear,giraffe,rhinoceros,alligator,crocodile,hippopotamus,black bear,brown bear,polar bear,,,
11145,1,Dog,cat,hamster,elephant,crocodile,snake,rat,ferret,ostrich,blue-jay,parrot,cardinal,eagle,falcon,turtle,frog,zebra,elephant,rhino,tiger,lion,cheetah,,,,,,,,,,,,,,,,,,
11147,1,Raccoon,beaver,squirrel,chipmunk,monkey,tiger,lion,dolphin,eagle,dog,cat,ferret,hamster,bird,rhinoceros,gorilla,giraffe,alligator,crocodile,whales,lizards,insects,zebra,horse,cow,pig,chicken,rooster,,,,,,,,,,,,
11151,1,Aardvark,barracuda,cat,dog,mouse,bird,whale,giraffe,lion,tiger,cougar,cheetah,leopard,whale,walrus,seal,dolphin,coyote,kangaroo,wombat,platypus,duck,swan,crow,cardinal,blue-jay,parrot,turtle,fish,dinkus-fish,angelfish,elephant,giraffe,hog pig,,,,,,
11175,1,Koala,bear,dolphin,kangaroo,cat,dog,fish,cow,horse,pig,mouse,cat,giraffe,elephant,rhino,hippo,zebra,camel,lion,tiger,bear,whale,bird,monkey,orang-utan,gorilla,lizard,snake,shark,jelly,fish,,,,,,,,,
11176,1,Lion,tiger,elephant,giraffe,anteater,antelope,duckbilled platypus,whale,dolphin,porpoise,seals,sea lions,birds,alligator,crocodile,hippo,rhino,cat,dog,cow,goat,sheet,monkey,bear,wolf,moose,deer,fox,coyote,fish,humans,snakes,frogs,salamander,ants,insects,spiders,,,
11183,1,Cat,dog,parrot,fox,moose,dear,coyote,wolf,duck,partridge,turkey,chicken,eagle,squirrels,chipmunk,groundhog,mouse,rat,sheep,goat,lion,tiger,zebra,giraffe,bat,,,,,,,,,,,,,,,
11189,1,Alligator,baboon,canary,duck,eagle,ferret,groundhog,hyena,jaguar,leopard,coyote,monkey,gorilla,zebra,snake,lizard,dog,toad,vulture,weasel,wolverine,polar bear,tiger,lion,dog,cat,ant,grasshopper,cricket,butterfly,moth,orang-utan,chimpanzee,,,,,,,
11211,1,dog,cat,horse,lizard,lion,tiger,bear,rat,horse,bull,chicken,lamb,pig,salamander,sloth,monkey,turtle,fish,whale,dolphin,sting ray,eel,bird,ferret,hamster,chinchilla,porcupine,,,,,,,,,,,,,
11214,1,"Cat,","dog,","iguana,","snake,","frog,","elephant,","gorilla,","lion,",polar,"bear,","mammoth,","bear,","tiger,","leopard,",grizzly,"bear,","antelope,","gazelle,","ant-eater,","frog,","ferret,","parrot,","rat,",hedgehog,,,,,,,,,,,,,,,,
11216,1,dogs,cats,bears,lions,tigers,fish,snakes,spiders,birds,rabbit,squirrel,raccoon,cougar,cheetah,puma,elephant,camel,rhino,kangaroo,flamingo,parrot,monkey,gorilla,,,,,,,,,,,,,,,,,
11217,1,dogs,cats,giraffes,antelopes,lions,ferrets,bunnies,gophers,beavers,loons,swans,deer,bears,tigers,hippos,alligators,anteaters,whales,sharks,stingrays,dolphins,parrots,gophers,owls,blue-jays,polar bears,,,,,,,,,,,,,,
11221,1,"Frogs,","lions,","tigers,","rhinos,","giraffes,","hippos,","crocodiles,","iguanas,","horses,","pigs,","cows,","whales,","birds,","dogs,","cats,","dolphins,","sharks,","turtle,","octopi,","deer,","antelope,","puma,","bear,","lynx,","black bear,","polar bear,","spider,","buffalo,","bison,",ostrich,,,,,,,,,,
11226,1,cat,dog,monkey,whale,dinosaur,chimpanzee,orangutan,ape,dolphin,fish,squid,tuna,giraffe,lion,shark,birds,falcon,eagle,elephant,crocodile,,,,,,,,,,,,,,,,,,,,
11249,1,giraffe,zebra,lion,crocodile,alligator,bat,fish,rhino,pelican,parrot,dog,cat,mouse,bird,racoon,squirrel,pig,,,,,,,,,,,,,,,,,,,,,,,
